primers,digest,y.intercept,slope,r.squared,adj.r.squared,qpcr.effic
m300,HincII,24.076884152416593,-1.6617675402468735,0.99843513513148,0.9982115830074056,0.825344771543213
p590,HincII,24.156756220695353,-1.6199957089671588,0.9991216505568384,0.9989961720649582,0.8538889830801673
